b52:[30.69, 322.37, 81.44, 271.87, 296.73, 118.27]
b62:[26.85, 312.48, 62.74, 271.62, 287.82, 114.8]
b72:[23.98, 298.77, 36.05, 271.43, 274.72, 112.34]
b82:[21.42, 281.68, 0.2, 270.67, 262.51, 110.11]
a22:[60.45, 341.29, 113.52, 272.12, 310.52, 148.17]
a32:[50.85, 333.95, 102.12, 271.66, 306.2, 139.01]
a42:[43.62, 326.62, 89.51, 271.26, 300.74, 132.08]
a52:[37.99, 317.85, 73.77, 271.0, 293.65, 126.71]
a62:[33.33, 307.63, 53.83, 270.78, 283.87, 122.17]
a72:[29.99, 287.83, 13.96, 270.6, 263.87, 119.12]
a82:[27.44, 281.03, 359.48, 269.5, 265.9, 116.51]
Clock:[55, 310, 70, 270, 300, 57]
HOME:[0, 0, 30, 270, 220, 90]
OUT:[61.25, 308.78, 49.38, 270.02, 280.40, 64.23]
PROM1:[45.46, 296.93, 60.55, 260.69, 310.09, 141.03]
PROM2:[45.47, 305.09, 57.49, 261.95, 298.79, 138.99]
